"Subject Code","Catalog Number","Description"
"CRWT","10200","General Transfer Credit-FAR"
"CRWT","10203","Workshop in which students present their writing (fiction, poetry, drama, creative nonfiction) for class analysis; will be complemented by lectures on the genres and readings that exemplify outstanding technique."
"CRWT","20103","Introduces concepts of close reading and the creative writing workshop.  Engages questions of the role of reading in culture, its impact on understanding complex issues, and the connection of reading to composing."
"CRWT","20123","Introduces concepts of close reading and the creative writing workshop.  Engages the craft of travel writing within and across cultures as a way to deepen awareness of what it means to be a global citizen, while fostering a more nuanced view of the individual in the world."
"CRWT","20133","In this creative writing course, students will read and analyze plays, experimental collaborative performances, and poetry, specifically focusing on identity expression through the written word and performance.  Students will also get experience writing their own plays and poetry, as well as receive constructive critiques on their own written work."
"CRWT","30233","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A creative nonfiction writing class for students with some experience in creative writing.  In this course, students will get experience writing memoir, personal essays, autobiography, oral history, and in other nonfiction genres."
"CRWT","30343","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A fiction writing class for students with some experience in creative writing.  Student cannot receive credit for CRWT 55153 and CRWT 30343."
"CRWT","30353","Prerequisites:  ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A poetry writing class for students with some experience in creative writing.  Student cannot receive credit for CRWT 55273 and CRWT 30353."
"CRWT","30363","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133 or Digital Culture and Data Analytics major or minor.  Explores the composition of creative work using digital technologies - collage, graphic narratives, multimedia poetry/fiction, and creative short animations.  The course emphasizes concepts in creative writing, multimedia, and authorship in digital environments.  Students design and compose a variety of multimedia products incorporating typography, images, and other modes.  Students cannot receive credit for CRWT 55363 and CRWT 30363."
"CRWT","30373","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A dramatic writing workshop, focusing on the growth of students' own work in playwriting and/or screenwriting.  Student cannot receive credit for CRWT 55213 and CRWT 30373."
"CRWT","40133","Prerequisites: ENGL/WRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133 .  A creative nonfiction writing class for students with some experience in creative writing, this a craft/workshop course intended for advanced writers who have a committed interest in creative non-fiction (such as personal essay, literary journalism, travel writing, science writing, memoir, and other non-fiction genres) and are comfortable writing longer works of prose.  As a workshop, students will work cooperatively to share and improve each others' work during the semester.  Student cannot receive credit for CRWT 55133 and ENGL/WRIT/CRWT 40133."
"CRWT","40203","Prerequisites: ENGL/WRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  An advanced fiction-writing workshop, focusing on the growth of students' own work.  Prior to enrollment, students are also strongly encouraged to take ENGL/WRIT/CRWT 30343 (Fiction Writing Workshop I)."
"CRWT","40213","Prerequisites: ENGL/WRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  An advanced poetry-writing workshop, focusing on the growth of students' own work.  Prior to enrollment, students are also strongly encouraged to take ENGL/WRIT/CRWT 30353 (Poetry Writing Workshop I)."
"CRWT","40223","Prerequisites: ENGL/WRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  An advanced dramatic writing workshop, focusing on the growth of students' own work in playwriting and/or screenwriting.  Prior to enrollment, students are strongly encouraged to take another 30000-level course in creative writing.  Student cannot receive credit for CRWT 55223 and CRWT 40223."
"CRWT","40703","Prerequisites:  CRWT 10203, or CRWT 20103, or CRWT 20133, plus the prior completion of a 30000-or 40000-level Creative Writing Workshop with a grade of at least B-.  The Advanced Multi-Genre Workshop is a craft/workshop course in writing poems, fiction, and creative non-fiction.  This class is intended for students who are dedicated to creative writing, who have a strong background in creative writing and sustained experience workshopping.  This class is repeatable for credit.  Student cannot receive credit for CRWT 55703 and CRWT 40703."
"CRWT","40803","Prerequisites: CRWT 10203 or 20103 or 20133, and at least one 30000- or 40000-level Creative Writing Workshop.  An advanced examination of texts representing a specified formal tradition within a literary genre.  Readings will focus on craft techniques and reader expectations in the given formal tradition, familiarizing participants with varied examples within its canon.  Students will construct and critique their own original writing representative of the formal tradition under study.  Focus of literary genre may vary with each offering (i.e., novella, epic poem, one-act plays, et cetera)."
"CRWT","55103","Prerequisites:  CRWT 10203 or CRWT 20103.  A creative nonfiction writing class for students with some experience in creative writing.  In this course, students will get experience writing memoir, personal essays, autobiography, oral history, and in other nonfiction genres.  The course may also include reading of major nonfiction writers from the Renaissance to the present.  Student cannot receive credit for CRWT 55103 and CRWT/ENGL/WRIT 30233."
"CRWT","55133","Prerequisites: ENGL/WRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133 .  A creative nonfiction writing class for students with some experience in creative writing, this a craft/workshop course intended for advanced writers who have a committed interest in creative non-fiction (such as personal essay, literary journalism, travel writing, science writing, memoir, and other non-fiction genres) and are comfortable writing longer works of prose.  As a workshop, students will work cooperatively to share and improve each others' work during the semester.  Student cannot receive credit for CRWT 55133 and ENGL/WRIT/CRWT 40133."
"CRWT","55143","Prerequisites: CRWT 10203, CRWT 20103, or CRWT 20133.  Prior to enrollment, students are also strongly encouraged to take an upper-division creative writing course. Studies in Creative Writing is an intensive creative writing workshop open to students (graduate and advanced undergraduates) who have a strong background in literature and imaginative writing.  Depending on the semester and the selected genre, this course will pay special attention to invention, point-of-view, voice, form, and genre-appropriate theory.  Student cannot receive credit for CRWT 55143 and ENGL 50233."
"CRWT","55153","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A fiction writing class for students with some experience in creative writing.  Student cannot receive credit for CRWT 55153 and CRWT 30343."
"CRWT","55163","Prerequisites:  ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103.  An advanced fiction-writing workshop, focusing on the growth of students' own work.  Prior to enrollment, students are also strongly encouraged to take ENGL/WRIT  30343 (Fiction Writing Workshop I).  Student cannot receive credit for CRWT 55163 and ENGL/WRIT/CRWT 40203."
"CRWT","55173","Prerequisites:  ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103.  An advanced poetry-writing workshop, focusing on the growth of students' own work.  Prior to enrollment, students are also strongly encouraged to take ENGL/WRIT/CRWT 30353 (Poetry Writing Workshop I).  Student cannot receive credit for CRWT 55173 and ENGL/WRIT/CRWT 40213."
"CRWT","55213","Prerequisites:  ENGLWRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A dramatic writing workshop, focusing on the growth of students' own work in playwriting and/or screenwriting.  Student cannot receive credit for CRWT 55213 and CRWT 30373."
"CRWT","55213","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A dramatic writing workshop, focusing on the growth of students' own work in playwriting and/or screenwriting.  Student cannot receive credit for CRWT 55213 and CRWT 30373."
"CRWT","55223","Prerequisites: ENGL/WRIT/CRWT 10203, ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  An advanced dramatic writing workshop, focusing on the growth of students' own work in playwriting and/or screenwriting.  Prior to enrollment, students are strongly encouraged to take another 30000-level course in creative writing.  Student cannot receive credit for CRWT 55223 and CRWT 40223."
"CRWT","55273","Prerequisites:  ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A poetry writing class for students with some experience in creative writing.  Student cannot receive credit for CRWT 55273 and CRWT 30353."
"CRWT","55273","Prerequisites:  ENGL/WRIT/CRWT 10203, ENGLWRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133.  A poetry writing class for students with some experience in creative writing.  Student cannot receive credit for CRWT 55273 and CRWT 30353."
"CRWT","55313","Prerequisites:  CRWT 10203 or 20103.  An advanced dramatic writing workshop, focusing on the growth of students' own work in playwriting and/or screenwriting.  Prior to enrollment, students are strongly encouraged to take another 30000-level course in creative writing.  Student cannot receive credit for CRWT 55313 and CRWT 40223."
"CRWT","55363","Prerequisites: ENGL/WRIT/CRWT 10203 or ENGL/WRIT/CRWT 20103 or ENGL/WRIT/CRWT 20133 or Digital Culture and Data Analytics major or minor.  Explores the composition of creative work using digital technologies - collage, graphic narratives, multimedia poetry/fiction, and creative short animations.  The course emphasizes concepts in creative writing, multimedia, and authorship in digital environments.  Students design and compose a variety of multimedia products incorporating typography, images, and other modes.  Students cannot receive credit for CRWT 55363 and CRWT 30363."
"CRWT","55703","Prerequisites:  CRWT 10203, or CRWT 20103, or CRWT 20133, plus the prior completion of a 30000-or 40000-level Creative Writing Workshop with a grade of at least B-.  The Advanced Multi-Genre Workshop is a craft/workshop course in writing poems, fiction, and creative non-fiction.  This class is intended for students who are dedicated to creative writing, who have a strong background in creative writing and sustained experience workshopping.  This class is repeatable for credit.  Student cannot receive credit for CRWT 55703 and CRWT 40703."
"CRWT","55973","Prerequisites:  ENGL 10803, ENGL 20803, and at least one 10000-or 20000-level ENGL/WRIT/CRWT course.  Directed Study in Creative Writing."
"CRWT","55973","Prerequisites:  ENGL 10803, 20803, and at least one 10000- or 20000-level ENGL/WRIT/CRWT course.  Directed Study in Creative Writing."
"ENGL","10103","Reading and analysis of prose fiction by a variety of authors.  The course may focus on a specific historical period or may cover a more extensive time span.  Students will become familiar with interpretive strategies and will examine the course texts in relation to literary antecedents, the conventions of various genres, and the cultural circumstances of composition."
"ENGL","10113","Reading and analysis of a wide variety of American and British poetry.  The goal of the course will be to help students understand that poetry is not difficult and dull, but understandable, worthwhile, and enjoyable."
"ENGL","10123","Reading and analysis of the various dramatic genres."
"ENGL","10133","Reading and analysis of a variety of genres by a variety of authors.  The course may focus on a specific historical period or may cover a more extensive time span.  Students will become familiar with interpretive strategies and will examine the course texts in relation to literary antecedents, literary analysis as a research method, and the cultural circumstances of composition.  Subtopics will often vary by section.  This course cannot be repeated for additional credit."
"ENGL","10200","General Transfer Credit"
"ENGL","10303","A study of aesthetic and ideological differences between literary source texts and the films, scripts, television series, video games, and other media adapted from and inspired by them."
"ENGL","10503","This course provides an introductory-level study of a variety of genres that do not fit the mold of fiction, poetry or drama.  Readings will vary by semester, and may include such genres as oratory, essay, memoir, autobiography, oral history, diary, speeches, letters, belles lettres, chronicles, periodicals, treatises, manifestos, travelogues, weblogs, podcasts, dialogues, debates, didactic and religious writings and/or documentary film and television."
"ENGL","10703","Introduction to critical writing, reading, and research in the university.  ENGL 10703, when followed by a designated section of ENGL 10803, gives students the opportunity to engage in a year-long study of academic writing.  Includes attention to invention, drafting, revision, and editing of various genres of academic writing.  Designed for students who do not have extensive experience writing research-based academic essays.  Not available to student who have credit for ENGL 10803."
