"custom-link","custom-link href","tablescraper-selected-row","tablescraper-selected-row 2"
"ENGL10103","https://undergraduate.catalog.tcu.edu/courses/0015391","Introduction to Fiction","3"
"ENGL10113","https://undergraduate.catalog.tcu.edu/courses/0015401","Introduction to Poetry","3"
"ENGL10123","https://undergraduate.catalog.tcu.edu/courses/0015411","Introduction to Drama","3"
"ENGL10133","https://undergraduate.catalog.tcu.edu/courses/0015481","Introduction to Literature","3"
"ENGL10303","https://undergraduate.catalog.tcu.edu/courses/0083361","Approaches to Film","3"
"ENGL10503","https://undergraduate.catalog.tcu.edu/courses/0083371","Introduction to Nonfiction Genres","3"
"CRWT20123","https://undergraduate.catalog.tcu.edu/courses/0095781","Travel Writing","3"
"CRWT20133","https://undergraduate.catalog.tcu.edu/courses/0096461","Writing for Performance","3"
"ENGL20203","https://undergraduate.catalog.tcu.edu/courses/0091681","Girls' Studies","3"
"ENGL20213","https://undergraduate.catalog.tcu.edu/courses/0091691","Global Women's Literature","3"
"ENGL20223","https://undergraduate.catalog.tcu.edu/courses/0091701","Gender, Culture and Representation","3"
"WRIT20113","https://undergraduate.catalog.tcu.edu/courses/0103661","Technical and Professional Writing","3"
"ENGL20233","https://undergraduate.catalog.tcu.edu/courses/0091711","Sex and Gender in Literature","3"
"WRIT20303","https://undergraduate.catalog.tcu.edu/courses/0090371","Writing Games","3"
"WRIT20313","https://undergraduate.catalog.tcu.edu/courses/0090381","Power and Protest","3"
"WRIT20323","https://undergraduate.catalog.tcu.edu/courses/0101331","Introduction to Multimedia Authoring","3"
"WRIT20333","https://undergraduate.catalog.tcu.edu/courses/0016641","Language, Technology, and Society","3"
"WRIT20343","https://undergraduate.catalog.tcu.edu/courses/0102901","The Rhetoric of Science","3"
"ENGL20423","https://undergraduate.catalog.tcu.edu/courses/0089441","Introduction to Medieval Literature","3"
"ENGL20593","https://undergraduate.catalog.tcu.edu/courses/0094781","Introduction to Literatures of the Global African Diaspora","3"
"ENGL20603","https://undergraduate.catalog.tcu.edu/courses/0015721","Western World Literature I","3"
"ENGL20613","https://undergraduate.catalog.tcu.edu/courses/0015731","Western World Literature II","3"
"ENGL20623","https://undergraduate.catalog.tcu.edu/courses/0015741","Introduction to Women's Writing","3"
"ENGL20633","https://undergraduate.catalog.tcu.edu/courses/0015751","Mythology","3"
"ENGL20643","https://undergraduate.catalog.tcu.edu/courses/0015761","Fable and Fantasy","3"
"ENGL20653","https://undergraduate.catalog.tcu.edu/courses/0015771","The Romantic Imagination","3"
"ENGL20663","https://undergraduate.catalog.tcu.edu/courses/0085931","Why Read Literature?","3"
"ENGL20683","https://undergraduate.catalog.tcu.edu/courses/0091501","Young Adult Literature in American Culture","3"
"ENGL20703","https://undergraduate.catalog.tcu.edu/courses/0095651","Intro to Law and Literature","3"
"ENGL20713","https://undergraduate.catalog.tcu.edu/courses/0094791","Literature and Medicine","3"
"ENGL20723","https://undergraduate.catalog.tcu.edu/courses/0099501","Introduction to Disability Studies","3"
"ENGL20733","https://undergraduate.catalog.tcu.edu/courses/0015841","Science Fiction","3"
"ENGL20743","https://undergraduate.catalog.tcu.edu/courses/0015851","Crime Fiction","3"
"ENGL20813","https://undergraduate.catalog.tcu.edu/courses/0099511","Introduction to the Digital Humanities","3"
"WRIT20833","https://undergraduate.catalog.tcu.edu/courses/0103491","Introduction to Coding in the Humanities","3"
"ENGL20913","https://undergraduate.catalog.tcu.edu/courses/0072951","Literature and Civilizations I","3"
"ENGL20923","https://undergraduate.catalog.tcu.edu/courses/0075061","Literature and Civilizations II","3"
"ENGL30003","https://undergraduate.catalog.tcu.edu/courses/0015931","Honors Thesis Seminar I","3"
"ENGL30013","https://undergraduate.catalog.tcu.edu/courses/0095131","Distinction Program: Thesis I","3"
"WRIT30390","https://undergraduate.catalog.tcu.edu/courses/0086931","Publication Production","1.5"
"WRIT30603","https://undergraduate.catalog.tcu.edu/courses/0097131","Rhetoric of Social Media","3"
"ENGL30613","https://undergraduate.catalog.tcu.edu/courses/0016281","Women's Lives: Memoir and Fiction","3"
"ENGL30723","https://undergraduate.catalog.tcu.edu/courses/0016381","Short Story","3"
"ENGL30733","https://undergraduate.catalog.tcu.edu/courses/0016391","Satire","3"
"ENGL30753","https://undergraduate.catalog.tcu.edu/courses/0016401","Literature and Film","3"
"WRIT30893","https://undergraduate.catalog.tcu.edu/courses/0095791","Digital Inclusiveness: Cultural Identity & Authoring","3"
"ENGL30970","https://undergraduate.catalog.tcu.edu/courses/0016501","Directed Studies in English","1-6"
"ENGL30823","https://undergraduate.catalog.tcu.edu/courses/0091251","Law and Literature","3"
"ENGL40003","https://undergraduate.catalog.tcu.edu/courses/0016521","Honors Thesis Seminar II","3"
"ENGL40013","https://undergraduate.catalog.tcu.edu/courses/0095181","Distinction Program: Thesis II","3"
"WRIT40283","https://undergraduate.catalog.tcu.edu/courses/0089011","Editing and Publishing","3"
"ENGL40613","https://undergraduate.catalog.tcu.edu/courses/0091491","King Arthur in Modern Literature and Culture","3"
"ENGL40673","https://undergraduate.catalog.tcu.edu/courses/0016911","Modern Drama","3"
"ENGL40733","https://undergraduate.catalog.tcu.edu/courses/0016971","Children's Literature","3"
"ENGL40743","https://undergraduate.catalog.tcu.edu/courses/0016981","The Long Novel","3"
"ENGL55183","https://undergraduate.catalog.tcu.edu/courses/0088872","Literature Pedagogy","3"
"ENGL55223","https://undergraduate.catalog.tcu.edu/courses/0017682","Rhetoric and Literature","3"
"ENGL20933","https://undergraduate.catalog.tcu.edu/courses/0092601","Non-Western World Literature","3"
"WRIT55313","https://undergraduate.catalog.tcu.edu/courses/0080062","Research Practices in Composition and Rhetoric","3"
"ENGL55523","https://undergraduate.catalog.tcu.edu/courses/0090702","Archival Scholarship","3"
