"custom-link","custom-link href","tablescraper-selected-row"
"ENGL20403","https://undergraduate.catalog.tcu.edu/courses/0015601","British Writers"
"ENGL20433","https://undergraduate.catalog.tcu.edu/courses/0015631","Introduction to Shakespeare"
"ENGL30113","https://undergraduate.catalog.tcu.edu/courses/0015951","British Literature to 1800"
"ENGL30123","https://undergraduate.catalog.tcu.edu/courses/0015961","British Literature since 1800"
"ENGL30413","https://undergraduate.catalog.tcu.edu/courses/0016111","Studies in Medieval Literature and Culture"
"ENGL30423","https://undergraduate.catalog.tcu.edu/courses/0016121","Early British Drama"
"ENGL30433","https://undergraduate.catalog.tcu.edu/courses/0016131","Renaissance Poetry"
"ENGL30443","https://undergraduate.catalog.tcu.edu/courses/0016141","Twentieth Century Irish Literature"
"ENGL30453","https://undergraduate.catalog.tcu.edu/courses/0016151","The Victorian Novel"
"ENGL30463","https://undergraduate.catalog.tcu.edu/courses/0016161","British Literature: The Bloomsbury Group"
"ENGL30473","https://undergraduate.catalog.tcu.edu/courses/0079471","Wilde Years: Oscar Wilde and the 1890s"
"ENGL30633","https://undergraduate.catalog.tcu.edu/courses/0016301","Medieval and Early Modern Women Writers"
"ENGL30653","https://undergraduate.catalog.tcu.edu/courses/0083381","Jane Austen: Novels and Films"
"ENGL30673","https://undergraduate.catalog.tcu.edu/courses/0016331","King Arthur in Literature and Legend"
"ENGL30683","https://undergraduate.catalog.tcu.edu/courses/0016341","Post-Colonial Anglophone Literature"
"ENGL30773","https://undergraduate.catalog.tcu.edu/courses/0016421","India: Texts and Traditions"
"ENGL30783","https://undergraduate.catalog.tcu.edu/courses/0084111","Modern India: Literature and Culture"
"ENGL30793","https://undergraduate.catalog.tcu.edu/courses/0085501","Multi-Ethnic Literature of the World"
"ENGL38013","https://undergraduate.catalog.tcu.edu/courses/0092211","Research Seminar in British Literature"
"ENGL40403","https://undergraduate.catalog.tcu.edu/courses/0016651","Chaucer"
"ENGL40413","https://undergraduate.catalog.tcu.edu/courses/0016661","Renaissance in England"
"ENGL40423","https://undergraduate.catalog.tcu.edu/courses/0016671","Restoration and 18th Century Literature, 1660-1790"
"ENGL40433","https://undergraduate.catalog.tcu.edu/courses/0016681","19th Century British Literature"
"ENGL40443","https://undergraduate.catalog.tcu.edu/courses/0016691","British Literature Since 1900"
"ENGL40453","https://undergraduate.catalog.tcu.edu/courses/0016701","British Novel to 1832"
"ENGL40463","https://undergraduate.catalog.tcu.edu/courses/0016711","British Novel since 1832"
"ENGL40473","https://undergraduate.catalog.tcu.edu/courses/0081551","Milton and his Contemporaries"
"ENGL40483","https://undergraduate.catalog.tcu.edu/courses/0016731","Shakespeare and Marlowe"
"ENGL40493","https://undergraduate.catalog.tcu.edu/courses/0016741","Shakespeare"
"ENGL40633","https://undergraduate.catalog.tcu.edu/courses/0089461","Love, Sex, and Power in Renaissance England"
"ENGL40643","https://undergraduate.catalog.tcu.edu/courses/0081561","British Romanticism"
"ENGL40653","https://undergraduate.catalog.tcu.edu/courses/0016891","Renaissance Literature and the 'New' Science"
"ENGL40693","https://undergraduate.catalog.tcu.edu/courses/0016931","British and Irish Poetry Since 1900"
"ENGL55153","https://undergraduate.catalog.tcu.edu/courses/0017312","Prose and Poetry of the English Renaissance"
"ENGL55233","https://undergraduate.catalog.tcu.edu/courses/0017872","Seminar in British Literature of the Victorian Period"
"ENGL55483","https://undergraduate.catalog.tcu.edu/courses/0017572","Victorian Women Writers"
"ENGL55543","https://undergraduate.catalog.tcu.edu/courses/0017322","Renaissance Drama Exclusive of Shakespeare"
"ENGL55853","https://undergraduate.catalog.tcu.edu/courses/0017832","Seminar in Shakespeare"
